MARCA,MODELO ,EQUIVALENCIA,CODIGO
CAPSA,9FD,,
CAPSA,9FDI,,
CAPSA,10FDI,,
CAPSA,10LBI,,
CAPSA,11TO,,
CAPSA,11TOD,,
CAPSA,11TOI,,
CAPSA,11TODI,,
CAPSA,13TO,,
CAPSA,13TOD,,
CAPSA,13TOI,,
CAPSA ,13TODI,,
CAPSA,11W,,
CAPSA,11WI,,
CAPSA,13W,,
CAPSA,13WI,,
CAPSA,1135,,
CAPSA,1247L2,,
CAPSA,11AP,,
CAPSA,11API,,
CAPSA,13AP,,
CAPSA,13API,,
CAPSA,13MBI,,
CAPSA,15MB,,
CAPSA,15MBI,,
CAPSA,15APCG,,
CAPSA,15APCGI,,
CAPSA,1765,,
CAPSA,1731P,,
CAPSA,21-4D,,
CAPSA,23-4D,,
CAPSA,28-8D,,
CAPSA,12N9-4B,,
CAPSA,12N7-3B,,
DAEWOO,42B19L,,
DAEWOO,44B19L,,
DAEWOO,50D20L,,
DAEWOO,54316,,
DAEWOO,55040,,
DAEWOO,55054,,
DAEWOO,55B24L,,
DAEWOO,56077,,
DAEWOO,56220,,
DAEWOO,57113,,
DAEWOO,60B24LS,,
DAEWOO,75D23L,,
DAEWOO,75D26L,,
DAEWOO,75D26R,,
DAEWOO,80D26L,,
DAEWOO,85D23L,,
DAEWOO,105D31L,,
DAEWOO,105D31R,,
DAEWOO,MF100R,,
DAEWOO,60044,,
BOSCH,40B19L BHD,,
BOSCH,46B20L,,
BOSCH,S545D,,
BOSCH,S550D,,22.0.092.S57.020
BOSCH,65B24L,,N1.0.092.S58.010
BOSCH,65B24LS,,N1.0.092.S58.070
BOSCH,65B24R,,22.0.986.A00.365
BOSCH,70B24L,,22.0.092.S47.026
BOSCH,70B24LS,,
BOSCH,NS60L,,22.0.092.S57.024
BOSCH,NS60LS,,22.0.986.A00.363
BOSCH,S560E,,N1.0.092.S58.090
BOSCH,S455D,,N1.0.092.S48.040
BOSCH,S455DH,,N1.0.092.S58.080
BOSCH,S560D,,
BOSCH,S560D COREA,,N1.0.092.S68.030
BOSCH,S560DH,,
BOSCH,S560EH,,N1.0.092.S58.110
BOSCH,S665D,,22.0.986.A00.223
BOSCH,S665E,,N1.0.092.S58.100
BOSCH,S570D,,22.0.986.A00.376
BOSCH,S675D,,22.0.092.S47.031
BOSCH,S675E,,22.0.092.S57.027
BOSCH,80D23L,,22.0.986.A00.377
BOSCH,80D23R,,22.0.092.S47.030
BOSCH,90D23L,,22.0.092.S57.026
BOSCH,90D23R,,22.0.986.A00.382
BOSCH,80D26L,,22.0.986.A00.383
BOSCH,80D26R,,22.0.092.547.032
BOSCH,80D26LHD,,22.0.092.S57.028
BOSCH,80D26RHD,,
BOSCH,90D26L,,22.0.092.S47.031
BOSCH,90D26R,,22.0.092.S47.028
BOSCH,110D26L,,
BOSCH,110D26R,,N3.606.534.PE
BOSCH,95D31L,,N1.0.092.S68.060
BOSCH,95D31R,,N1.0.092.S58.120
BOSCH,95D31LHD,,N1.0.092.S68.050
BOSCH,95D31RHD,,
BOSCH,105D31L,,
BOSCH,125D31L,,
BOSCH,125D31R,,
BOSCH,65HPS4,,22.0.092.S47.043
BOSCH,S590DM,,N1.0.092.S58.160
BOSCH,60038,,
BOSCH,580035,,
BOSCH,65-7,,22.0.092.S67.053
BOSCH,S4180E,,
BOSCH,S6170D,,
BOSCH,S6710D,,
BOSCH,N100,,
BOSCH,N120,,
BOSCH,N200,,
BOSCH,31-930T,,
BOSCH,AGM LN2,,
BOSCH,AGM LN3,,
BOSCH,AGM LN4,,
BOSCH,AGM LN5,,
MAXIMA,NS60LMX-740,13TODI,
MAXIMA,NS60LSMX-740,13TOI,
MAXIMA,27MX-1030,15APCGI,
MAXIMA,27RMX-1030,15APCG,
MAXIMA,36IMX-630ST,10LBI,
MAXIMA,34RMX-960ST,1134R,
MAXIMA,42MX-820ST,13W,
MAXIMA,42IMX-820ST,13WI,
MAXIMA,48IMX-890ST,15MBI,
MULTIPOWER,11MP35750,1135,
MULTIPOWER,13MP42I800,13WI,
MULTIPOWER,15MP8I900,15MBI,
SOLITE,42B19L,,
SOLITE,42B19R,,
SOLITE,50B19L,,
SOLITE,55B24R,,
SOLITE,55B24RS,,
SOLITE,65B24L,,
SOLITE,65B24LS,,
SOLITE,CMF50AL,,
SOLITE,CMF55040,,
SOLITE,CMF56219,,
SOLITE,CMF56318,,
SOLITE,CMF57412,,
SOLITE,CMF58014,,
SOLITE,CMF59042,,
SOLITE,CMF67018,,
SOLITE,CMF75D23L,,
SOLITE,CMF60038,,
SOLITE,95D23L,,
SOLITE,105D31L,,
SOLITE,AGM70,,
SOLITE,AGM80,,
SOLITE,AGM95,,
YUASA,Q-85 Y,,
YUASA,NP 7/12,,
YUASA,YTX14-BS,,
VARTA,NS60LSV5790,,
VARTA,34RV51030,,
VARTA,35BLUE-555,,
VARTA,42IBLUE550,,
VARTA,48IV5940,,
VARTA,49V41150ST,,
VARTA,49BLUE-850,,
VARTA,65V4-1080,,
OPTIMA,34R,,
OPTIMA,D34/78,,
PANASONIC,60B24L,,
PANASONIC,75D23L,,
PANASONIC,80D23L,,
PANASONIC,90D26L,,
PANASONIC,100D23L,,
PANASONIC,115D31L,,
PANASONIC,115D31R,,
PANASONIC,125D26L,,
PANASONIC,560L25,,
PANASONIC,571L28,,
PANASONIC,574H28L,,
PANASONIC,60038,,
PANASONIC,Q-90,,
RITAR,RITAR 100AH,,
OXFORD,YTX7L-BS OX,,
